"CODIGO"	"NOMBRE"	"EMBALSE"	"X"	"Y"	"DEMARC"	"CAUCE"	"GOOGLE"	"OPENSTREETMAP"	"WIKIDATA"	"PROVINCIA"	"CCAA"	"TIPO"	"COTA_CORON"	"ALT_CIMIEN"	"INFORME"
1320039	"ALBARELLOS"	"ALBARELLOS"	42,3997502070001	-8,19041297799993	"MIÑO-SIL"	"RÍO AVIA"	""	""	""	"Ourense"	"Galicia"	"Presa de fábrica de bóveda"	267	90	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=124"
3280002	"MANZANARES EL REAL"	"MANZANARES EL REAL"	40,7068520460001	-3,81876584399993	"TAJO"	"RÍO MANZANARES"	""	""	""	"Madrid"	"Comunidad de Madrid"	"Presa de fábrica de gravedad (hormigón vibrado)"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=781"
2340012	"COMPUERTO"	"Reservoir of Compuerto"	42,860854868	-4,82693537899996	"DUERO"	"RÍO CARRIÓN"	"https://www.google.com/search?kgmid=/g/122z2cqz"	""	"https://www.wikidata.org/wiki/Q8775311"	"Palencia"	"Castilla y León"	"Presa de fábrica de gravedad (hormigón vibrado)"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=349"
8460030	"ESCALONA"	"Escalona Reservoir"	39,1285075870001	-0,698314119999964	"JUCAR"	"RÍO CAZUNTA"	"https://www.google.com/search?kgmid=/g/121zv9ty"	""	"https://www.wikidata.org/wiki/Q8775334"	"València/Valencia"	"Comunitat Valenciana"	"Presa de fábrica de arco-gravedad"	190	78	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2323"
5180023	"BERMEJALES, LOS"	"Los Bermejales Reservoir"	36,996064807	-3,89363361899996	"GUADALQUIVIR"	"RÍO  CACÍN"	""	""	"https://www.wikidata.org/wiki/Q579709"	"Granada"	"Andalucía"	"Presa de fábrica de gravedad (hormigón vibrado)"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1526"
10080010	"BAELLS, LA"	"BAELLS, LA"	42,121967372	1,87834263000002	"CUENCAS INTERNAS DE CATALUÑA"	"EL LLOBREGAT"	""	""	""	"Barcelona"	"Cataluña"	"Presa de fábrica de bóveda"	632,35	102,349999999999	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2891"
3100100	"JERTE"	"JERTE"	40,060599917	-6,04259896399998	"TAJO"	"RÍO JERTE"	""	""	""	"Cáceres"	"Extremadura"	"Presa de materiales sueltos zonificada o de núcleo"	372,5	42,5	"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=634"
2050016	"CASTRO DE LAS COGOTAS"	"CASTRO DE LAS COGOTAS"	40,7245279160001	-4,69718935299994	"DUERO"	"RÍO ADAJA"	""	""	""	"Ávila"	"Castilla y León"	"Presa de fábrica de bóveda"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=223"
5410045	"CALA"	"CALA"	37,7222268940001	-6,08896625199998	"GUADALQUIVIR"	"RIVERA DE CALA"	""	""	""	"Sevilla"	"Andalucía"	"Presa de fábrica de gravedad (hormigón vibrado)"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1688"
4210092	"PIEDRAS"	"PIEDRAS"	37,366812629	-7,26645658799993	"TINTO, ODIEL Y PIEDRAS"	"RÍO PIEDRAS"	""	""	""	"Huelva"	"Andalucía"	"Presa de materiales sueltos de pantalla de hormigón"			"https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1296"
